epoch,accuracy,loss,val_accuracy,val_loss
0,0.0989583358168602,5763.3623046875,0.09885817021131516,20526.0
1,0.1171875,50233.38671875,0.11207932978868484,82373.0390625
2,0.11770833283662796,79307.265625,0.08673878014087677,116611.1640625
3,0.1145833358168602,152039.765625,0.09625400602817535,306624.125
4,0.0885416641831398,412206.5,0.10797275602817535,376340.34375
5,0.1015625,383053.46875,0.09445112198591232,489162.15625
6,0.09166666865348816,620920.125,0.09094551205635071,829394.9375
7,0.09479166567325592,805731.875,0.09915865212678909,690802.6875
8,0.09062500298023224,664591.0625,0.08353365212678909,667193.0
9,0.08645833283662796,945369.0,0.09124599397182465,853882.1875
10,0.10520832985639572,1168238.375,0.1265024095773697,1076972.0
11,0.11145833134651184,1493292.375,0.10737179219722748,1310543.0
12,0.10833333432674408,1204449.125,0.09144631773233414,1517406.0
13,0.11249999701976776,1864208.5,0.08974359184503555,1459949.625
14,0.10781250149011612,1680480.875,0.08934295177459717,1620161.375
15,0.078125,2218121.25,0.08062900602817535,2651225.75
16,0.09166666865348816,2698942.5,0.09415064007043839,3433457.75
17,0.07968749850988388,3035296.25,0.07181490212678909,2662687.5
18,0.0885416641831398,3168625.25,0.09274839609861374,3935070.25
19,0.08541666716337204,4007098.25,0.0807291641831398,3747623.75
20,0.09166666865348816,3709023.5,0.09214743226766586,3507979.5
21,0.09322916716337204,3258633.5,0.10266426205635071,3598395.0
22,0.10000000149011612,3856855.5,0.10056089609861374,6292490.5
23,0.11354167014360428,5103955.0,0.11117788404226303,5370487.0
24,0.10729166865348816,5324444.5,0.10366586595773697,6575564.5
25,0.10625000298023224,5852553.0,0.11157852411270142,5940575.5
26,0.10781250149011612,6451178.0,0.10616987198591232,6407193.5
27,0.10572917014360428,6396087.5,0.12379807978868484,7298702.0
28,0.11406250298023224,7789337.0,0.12399839609861374,7896281.5
29,0.11041666567325592,7205729.5,0.11959134787321091,7823054.0
