epoch,accuracy,loss,val_accuracy,val_loss
0,0.0,2.2577528953552246,0.0,2.329040050506592
1,1.0,1.4719810485839844,0.0,2.345618963241577
2,1.0,1.1135770082473755,0.0,2.365231513977051
3,1.0,0.7563868165016174,0.0,2.391240358352661
4,1.0,0.5164849162101746,0.0,2.4218952655792236
5,1.0,0.33706656098365784,0.0,2.4569058418273926
6,1.0,0.2069917917251587,0.0,2.495659589767456
7,1.0,0.12299429625272751,0.0,2.5364413261413574
8,1.0,0.06857830286026001,0.0,2.5794029235839844
9,1.0,0.03764782473444939,0.0,2.6241188049316406
10,1.0,0.019047798588871956,0.0,2.669722318649292
11,1.0,0.009981716983020306,0.0,2.715872287750244
12,1.0,0.004428223706781864,0.0,2.762080669403076
13,1.0,0.00282448623329401,0.0,2.8079915046691895
14,1.0,0.0013108003186061978,0.0,2.85322642326355
15,1.0,0.0006881968001835048,0.0,2.8974461555480957
16,1.0,0.0003178806509822607,0.0,2.9403791427612305
17,1.0,0.00024339574156329036,0.0,2.981842279434204
18,1.0,0.00014053787162993103,0.0,3.0216617584228516
19,1.0,8.928377064876258e-05,0.0,3.059781789779663
20,1.0,4.029192859889008e-05,0.0,3.0960781574249268
21,1.0,2.8609820219571702e-05,0.0,3.13053822517395
22,1.0,2.312633478140924e-05,0.0,3.163142442703247
23,1.0,1.0013530300057027e-05,0.0,3.1938703060150146
24,1.0,7.510157047363464e-06,0.0,3.222736358642578
25,1.0,6.079655122448457e-06,0.0,3.2497968673706055
26,1.0,4.887569048150908e-06,0.0,3.275097131729126
27,1.0,3.576272320060525e-06,0.0,3.298691987991333
28,1.0,2.50339189733495e-06,0.0,3.3206491470336914
29,1.0,2.7418097943154862e-06,0.0,3.3410515785217285
30,1.0,1.4305104514278355e-06,0.0,3.3599724769592285
31,1.0,1.5497195136049413e-06,0.0,3.37748384475708
32,1.0,9.536738616588991e-07,0.0,3.3936657905578613
33,1.0,9.536738616588991e-07,0.0,3.408604621887207
34,1.0,8.344646857949556e-07,0.0,3.4223833084106445
35,1.0,5.960462772236497e-07,0.0,3.4350671768188477
36,1.0,4.768370445162873e-07,0.0,3.446730852127075
37,1.0,4.768370445162873e-07,0.0,3.457444190979004
38,1.0,4.768370445162873e-07,0.0,3.4672763347625732
39,1.0,3.576278118089249e-07,0.0,3.4762911796569824
40,1.0,4.768370445162873e-07,0.0,3.4845497608184814
41,1.0,3.576278118089249e-07,0.0,3.492112159729004
42,1.0,4.768370445162873e-07,0.0,3.499030590057373
43,1.0,4.768370445162873e-07,0.0,3.5053558349609375
44,1.0,3.576278118089249e-07,0.0,3.5111351013183594
45,1.0,3.576278118089249e-07,0.0,3.5164129734039307
46,1.0,2.3841855067985307e-07,0.0,3.521230459213257
47,1.0,2.3841855067985307e-07,0.0,3.525625705718994
48,1.0,1.1920928244535389e-07,0.0,3.529633045196533
49,1.0,2.3841855067985307e-07,0.0,3.533285140991211
50,1.0,1.1920928244535389e-07,0.0,3.5366125106811523
51,1.0,1.1920928244535389e-07,0.0,3.539642572402954
52,1.0,1.1920928244535389e-07,0.0,3.5424015522003174
53,1.0,3.576278118089249e-07,0.0,3.544912576675415
54,1.0,1.1920928244535389e-07,0.0,3.5471975803375244
55,1.0,1.1920928244535389e-07,0.0,3.5492751598358154
56,1.0,1.1920928244535389e-07,0.0,3.5511646270751953
57,1.0,1.1920928244535389e-07,0.0,3.552882194519043
58,1.0,1.1920928244535389e-07,0.0,3.554442882537842
59,1.0,1.1920928244535389e-07,0.0,3.555860996246338
